Date of Sale (dd/mm/yyyy),Address,Street Name,Price
06/02/2015,"2 Charlemont Mews, Howth Road, Clontarf",charlemont,"€449,339.20"
06/02/2015,"5 CLARKES TERRACE, RIALTO, DUBLIN 8",clarkes terrace,"€160,000.00"
06/02/2015,"6 Marlborough Road, Dublin 7",marlborough road,"€275,000.00"
06/02/2015,"apts at IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€480,000.00"
09/02/2015,"74 NEWMARKET SQ, WARDS HILL, DUBLIN 8",newmarket,"€212,000.00"
09/02/2015,"80 BROOKFIELD, KIMMAGE CROSS ROAD, BROOKFIELD",brookfield,"€425,000.00"
09/02/2015,"APT 307 BLOCK E, CASTLEFORBES SQ, CASTLEFORBES RD DUBLIN 1",castleforbes road,"€276,000.00"
10/02/2015,"151 FINGLAS PARK, DUBLIN 11",finglas park,"€242,000.00"
10/02/2015,"37 VILLA PARK GARDENS, NAVAN RD, DUBLIN 7",villa park gardens,"€405,000.00"
11/02/2015,"78 MILLENNIUM TOWER, CHARLOTTE QUAY DOCK, RINGSEND RD",ringsend road,"€600,000.00"
11/02/2015,"79 MOUNT TALLANT AVE, TERENURE, DUBLIN 6W",mount tallant avenue,"€375,000.00"
11/02/2015,"8 WOODFORD COURT, LEINSTER RD WEST, DUBLIN 6",leinster road,"€285,000.00"
11/02/2015,"Apartment 10B, The Park, Rathmines",the park,"€270,000.00"
12/02/2015,"12 Eastmore, Bushy Park Road, Terenure",bushy park,"€410,000.00"
12/02/2015,"146 ORWELL PARK VIEW, TEMPLEOGUE, PARK VIEW DUBLIN 6W",park view,"€420,000.00"
12/02/2015,"168 COLLINSWOOD, COLLINS AVE, DUBLIN 9",collinswood,"€392,000.00"
12/02/2015,"2 CHURCH STREET, BALBRIGGAN, CO DUBLIN",church street,"€200,000.00"
12/02/2015,"219 KILDARE RD, CRUMLIN, DUBLIN 12",kildare road,"€155,000.00"
12/02/2015,"23 MILLERS HALL, THOMAS ST, DUBLIN 8",thomas street,"€75,000.00"
12/02/2015,"4 ORWELL BANK, ORWELL PARK, RATHGAR DUBLIN 6",orwell park,"€525,000.00"
12/02/2015,"42 BEAUMONT RD, BEAUMONT, DUBLIN",beaumont road,"€246,000.00"
12/02/2015,"53 BUSHY PARK HOUSE, TEMPLEOGUE RD, TERENURE DUBLIN 6W",bushy park,"€400,000.00"
12/02/2015,"WOODTOWN MANOR, STOCKING LANE, RATHFARNHAM",manor street,"€600,000.00"
13/02/2015,"108 Premier Square, Finglas Road, Dublin 11",finglas road,"€185,000.00"
13/02/2015,"12 TEMPLE GARDENS, NORTH WOOD, SANTRY",temple gardens,"€171,000.00"
13/02/2015,"20 TRITONVILLE COURT, OFF TRITONVILLE RD, SANDYMOUNT",tritonville road,"€790,000.00"
13/02/2015,"238 MALAHIDE ROAD, MALAHIDE, DUBLIN 5",malahide road,"€195,000.00"
13/02/2015,"409 PHOENIX VIEW, JAMES STREET, DUBLIN 8",james street,"€149,000.00"
13/02/2015,"6 SPRINGDALE SQUARE, SPRINGDALE ROAD, RAHENY",springdale road,"€135,000.00"
13/02/2015,"83 DONAGHMEDE RD, DONAGHMEDE, DUBLIN 13",donaghmede road,"€303,000.00"
16/02/2015,"227 CABRA RD, DUBLIN 7, DUBLIN",cabra road,"€633,000.00"
16/02/2015,"apts at IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€620,000.00"
17/02/2015,"14 LOWER BUCKINGHAM STREET, DUBLIN 1",buckingham street,"€250,000.00"
17/02/2015,"25 HYDE SQ, SOUTH CIRCULAR ROAD, DUBILN 8",south circular road,"€266,500.00"
17/02/2015,"30 HARCOURT GREEN, CHARLEMONT, DUBLIN 2",charlemont,"€235,000.00"
17/02/2015,"319 NUTGROVE AVE, RATHFARNHAM, DUBLIN 14",grove avenue,"€39,055.25"
17/02/2015,"42 BROOKWOOD RD, ARTANE, DUBLIN 5",brookwood road,"€330,000.00"
17/02/2015,"5 SHERRARD AVE, NORTH CIRCULAR RD, DUBLIN 1",north circular road,"€152,000.00"
17/02/2015,"APT 2, 13 CLARKES TERRACE, HERBERTON",clarkes terrace,"€125,000.00"
18/02/2015,"12 CLOGHER RD, CRUMLIN, DUBLIN 12",clogher road,"€185,000.00"
18/02/2015,"26 TEMPLEVIEW GREEN, CLARE HALL MALAHIDE RD, DUBLIN 17",malahide road,"€300,000.00"
18/02/2015,"40 Merton Road, Rathmines",merton road,"€1,630,000.00"
18/02/2015,"54 THE GREEN, LARCH HILL, OSCAR TRAYNOR RD DUBLIN 17",oscar traynor road,"€162,000.00"
18/02/2015,"7 DRUMALEE AVE, NORTH CIRCULAR ROAD, DUBLIN 7",north circular road,"€210,000.00"
19/02/2015,"720 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN 8",south circular road,"€585,000.00"
19/02/2015,"APT 132 BLOCK D, SEVEN OAKS, SARSFIELD RD DUBLIN 10",seven oaks,"€82,514.41"
19/02/2015,"KENURE, 175 CRUMLIN RD, CRUMLIN DUBLIN 12",crumlin road,"€325,000.00"
19/02/2015,"WOODTOWN MANOR, STOCKING LANE, RATHFARNHAM",manor street,"€528,634.00"
20/02/2015,"148 PARNELL ST, DUBLIN 1, DUBLIN",parnell street,"€85,000.00"
20/02/2015,"23 MILLERS HALL, THOMAS ST, DUBLIN 8",thomas street,"€115,000.00"
20/02/2015,"313 KYLEMORE ROAD, BALLYFERMOT, DUBLIN 12",kylemore road,"€170,000.00"
20/02/2015,"38 HEATH SQ, MCKEE AVE, FINGLAS DUBLIN 11",mckee avenue,"€169,000.00"
20/02/2015,"6 TEMPLE GARDENS, NORTHWOOD, SANTRY DUBLIN 9",temple gardens,"€175,000.00"
20/02/2015,"8 ELM MOUNT CLOSE, BEAUMONT, DUBLIN 9",elm mount close,"€310,000.00"
20/02/2015,"HILLVIEW, CONNOLLY AVE, MALAHIDE",connolly avenue,"€635,000.00"
23/02/2015,"17 ASHFORD, GRIFFITH AVENUE, DRUMCONDRA",griffith avenue,"€255,757.00"
23/02/2015,"17 EMERALD SQUARE, DOLPHIN'S BARN, DUBLIN 8",dolphins barn,"€210,000.00"
23/02/2015,"198 COLLINSWOOD, COLLINS AVE, DUBLIN 9",collinswood,"€322,600.00"
24/02/2015,"17 MEADOWBANK, BUSHY PARK RD, TERENURE DUBLIN 6",meadowbank,"€400,000.00"
25/02/2015,"17 THE PARK, KINGSWOOD, TALLAGHT DUBLIN 24",the park,"€273,000.00"
25/02/2015,"31 CLEARWATER COURT NORTH, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",clearwater,"€163,464.12"
25/02/2015,"89 BACHELORS WALK, DUBLIN 1, DUBLIN",bachelors walk,"€180,000.00"
26/02/2015,"1 BUSHY PARK GARDENS, RATHGAR, DUBLIN 6",bushy park,"€1,810,000.00"
26/02/2015,"1 Charlemont Mews, Hwoth Road, Dublin 3",charlemont,"€506,608.00"
26/02/2015,"132 COOLEY RD, DRIMNAGH, DUBLIN 12",cooley road,"€198,000.00"
26/02/2015,"35 ALL HALLOWS SQ, GRIFFITH AVE, DUBLIN 9",griffith avenue,"€220,000.00"
